key,scope,property,description,en,ja
prompt_studio.save_as,prompt_studio,button,Save as a new preset and copy lore assignments,Save As,名前を付けて保存
prompt_studio.rename_preset,prompt_studio,button,Rename selected preset while preserving identity,Rename,名前を変更
prompt_studio.unseen_lore_profile,prompt_studio,label,Lore profile behavior for a preset seen for the first time,Lorebooks for a new preset,初めて使うプリセットのロアブック
prompt_studio.copy_current_lore,prompt_studio,option,Copy current lore assignments,Copy current assignments,現在の割り当てをコピー
prompt_studio.empty_lore,prompt_studio,option,Start without lore assignments,Start empty,空の状態で開始
prompt_studio.export_csv,prompt_studio,button,Export preset as CSV,Export CSV,CSVを書き出す
prompt_studio.import_csv,prompt_studio,label,Import preset CSV,Import CSV,CSVを読み込む
prompt_studio.debug_traces,prompt_studio,label,Debug trace recording toggle,Debug traces,デバッグ記録
prompt_studio.save_settings,prompt_studio,button,Apply active Prompt Studio configuration,Save settings,設定を保存
prompt_studio.exported_preset,prompt_studio,label,Generated preset download,Exported preset,書き出したプリセット
prompt_studio.reasoning_steps,prompt_studio,label,Reasoning step section,Reasoning steps,推論ステップ
prompt_studio.summarization,prompt_studio,label,Summarization prompt tab,Summarization,要約
prompt_studio.group_chat,prompt_studio,label,Group chat prompt tab,Group chat,グループチャット
prompt_studio.group_prompt,prompt_studio,label,Group chat prompt input,Group prompt,グループ用プロンプト
prompt_studio.temperature,prompt_studio,label,Sampling temperature,Temperature,温度
prompt_studio.frequency_penalty,prompt_studio,label,Frequency penalty sampler,Frequency penalty,頻度ペナルティ
prompt_studio.presence_penalty,prompt_studio,label,Presence penalty sampler,Presence penalty,存在ペナルティ
prompt_studio.repetition_penalty,prompt_studio,label,Repetition penalty sampler,Repetition penalty,反復ペナルティ
prompt_studio.repetition_range,prompt_studio,label,Repetition lookback range,Repetition range,反復範囲
prompt_studio.add_step,prompt_studio,button,Add a reasoning step,Add reasoning step,推論ステップを追加
prompt_studio.delete_step,prompt_studio,button,Delete a reasoning step,Delete step,ステップを削除
prompt_studio.saved_status,prompt_studio,status,Active configuration saved,Saved Prompt Studio settings.,プロンプトスタジオの設定を保存しました。
prompt_studio.preset_saved_status,prompt_studio,status,Named preset saved,Preset saved.,プリセットを保存しました。
prompt_studio.imported_status,prompt_studio,status,Preset CSV imported,Preset imported.,プリセットを読み込みました。
prompt_studio.export_failed,prompt_studio,error,Preset export failed,Could not export the preset: {error},プリセットを書き出せませんでした: {error}
lorebook.global_settings,lorebooks,label,Global lorebook settings,Global settings,全体設定
lorebook.current_preset,lorebooks,label,Currently active prompt preset,Current preset,現在のプリセット
lorebook.refresh_books,lorebooks,button,Rescan lorebook files and active preset,Refresh,再読み込み
lorebook.missing_and_errors,lorebooks,label,Missing assignments and invalid files,Missing and invalid items,不足・エラー項目
lorebook.missing_files,lorebooks,label,Assigned lorebook files that no longer exist,Missing files,見つからないファイル
lorebook.no_missing_files,lorebooks,status,No assigned lorebook files are missing,No missing files.,見つからないファイルはありません。
lorebook.remove_missing_reference,lorebooks,button,Remove references to a missing lorebook file,Remove reference,参照を解除
lorebook.missing_targets,lorebooks,label,Assignments targeting steps not in the active preset,Missing targets,見つからない割り当て先
lorebook.no_missing_targets,lorebooks,status,No lore assignments target missing steps,No missing targets.,見つからない割り当て先はありません。
lorebook.destination,lorebooks,label,New target for a missing assignment,Destination,移動先
lorebook.move_assignment,lorebooks,button,Move a missing assignment to an active step,Move,移動
lorebook.remove_assignment,lorebooks,button,Remove a missing target assignment,Remove assignment,割り当てを解除
lorebook.invalid_files,lorebooks,label,Lorebook JSON files that could not be read,Invalid files,読み込めないファイル
lorebook.no_invalid_files,lorebooks,status,No invalid lorebook files were found,No invalid files.,読み込めないファイルはありません。
lorebook.scan_depth,lorebooks,label,Global scan depth,Scan depth,スキャン深度
lorebook.token_budget,lorebooks,label,Token budget per agent,Token budget / agent,エージェントごとのトークン上限
lorebook.case_sensitive,lorebooks,label,Case-sensitive key matching,Case sensitive,大文字・小文字を区別
lorebook.whole_words,lorebooks,label,Whole-word key matching,Whole words,単語全体で一致
lorebook.recursive,lorebooks,label,Recursive lore matching,Recursive,再帰検索
lorebook.book,lorebooks,label,Lorebook selector,Lorebook,ロアブック
lorebook.add_book,lorebooks,button,Add lorebook,Add book,ロアブックを追加
lorebook.delete_book,lorebooks,button,Delete lorebook,Delete book,ロアブックを削除
lorebook.import_st_json,lorebooks,button,Import SillyTavern lorebook JSON,Import ST JSON,ST JSONを読み込む
lorebook.book_title,lorebooks,label,Lorebook title input,Lorebook title,ロアブック名
lorebook.entry,lorebooks,label,Entry selector,Entry,エントリー
lorebook.add_entry,lorebooks,button,Add lorebook entry,Add entry,エントリーを追加
lorebook.delete_entry,lorebooks,button,Delete lorebook entry,Delete entry,エントリーを削除
lorebook.entry_title,lorebooks,label,Entry title input,Entry title,エントリー名
lorebook.primary_keys,lorebooks,label,Primary activation keys,Primary keys,プライマリキー
lorebook.secondary_keys,lorebooks,label,Secondary activation keys,Secondary keys,セカンダリキー
lorebook.comma_separated,lorebooks,placeholder,Key list input format,Comma separated,カンマ区切り
lorebook.always_active,lorebooks,label,Always-active entry toggle,Always active,常時有効
lorebook.use_secondary_keys,lorebooks,label,Use secondary activation keys,Use secondary keys,セカンダリキーを使用
lorebook.use_probability,lorebooks,label,Use activation probability,Use probability,確率を使用
lorebook.order,lorebooks,label,Insertion order,Order,順序
lorebook.probability,lorebooks,label,Activation probability,Probability,発動確率
lorebook.entry_scan_depth,lorebooks,label,Per-entry scan depth,Entry scan depth,個別スキャン深度
lorebook.update_draft,lorebooks,button,Write editor fields into draft,Update draft,編集中データへ反映
lorebook.agent_assignments,lorebooks,label,Agent assignment section,Agent assignments,エージェントへの割り当て
lorebook.assignment_help,lorebooks,help,Agent assignment instructions,Use the dropdown on the right of each active Prompt Studio agent to select lorebooks. Changes are saved with the button below.,プロンプトスタジオで有効な各エージェントの右側にあるプルダウンからロアブックを選択してください。変更は下のボタンで保存されます。
lorebook.available_books,lorebooks,label,Available lorebooks dropdown,Available lorebooks,選択可能なロアブック
lorebook.active_books,lorebooks,label,Currently active lorebook list,Currently applied,現在適用中
lorebook.none_assigned,lorebooks,status,No lorebooks assigned,None,なし
lorebook.agent,lorebooks,label,Agent selector,Agent,エージェント
lorebook.assigned_books,lorebooks,label,Lorebooks assigned to agent,Assigned lorebooks,割り当てるロアブック
lorebook.update_assignment,lorebooks,button,Update agent assignment,Update assignment,割り当てを更新
lorebook.apply_settings,lorebooks,button,Save lorebook configuration,Apply lorebooks,ロアブック設定を保存
lorebook.loaded_status,lorebooks,status,Lorebook configuration loaded,Lorebooks loaded.,ロアブック設定を読み込みました。
lorebook.saved_status,lorebooks,status,Lorebook configuration saved,Lorebooks saved.,ロアブック設定を保存しました。
lorebook.draft_updated_status,lorebooks,status,Current editor draft updated,Draft updated.,編集中データへ反映しました。
lorebook.book_added_status,lorebooks,status,Lorebook added,Lorebook added.,ロアブックを追加しました。
lorebook.book_deleted_status,lorebooks,status,Lorebook deleted,Lorebook deleted.,ロアブックを削除しました。
lorebook.entry_added_status,lorebooks,status,Entry added,Entry added.,エントリーを追加しました。
lorebook.entry_deleted_status,lorebooks,status,Entry deleted,Entry deleted.,エントリーを削除しました。
lorebook.assignment_updated_status,lorebooks,status,Agent assignment updated,Assignment updated.,割り当てを更新しました。
lorebook.import_complete_status,lorebooks,status,SillyTavern JSON import completed,Import completed.,読み込みが完了しました。
lorebook.import_failed,lorebooks,error,SillyTavern JSON import failed,Import failed: {error},読み込みに失敗しました: {error}
prompt_assistant.temporary_orders,prompt_assistant,label,Temporary order section,Temporary orders,一時指示
prompt_assistant.agent,prompt_assistant,label,Agent selector,Agent,エージェント
prompt_assistant.order,prompt_assistant,label,Temporary order input,Order,追加指示
prompt_assistant.apply_order,prompt_assistant,button,Apply temporary order,Apply order,指示を反映
prompt_assistant.clear_order,prompt_assistant,button,Clear temporary order,Clear order,指示を消去
prompt_assistant.message,prompt_assistant,label,Chat message input,Message,メッセージ
prompt_assistant.message_placeholder,prompt_assistant,placeholder,Chat message placeholder,Type a message...,メッセージを入力…
prompt_assistant.send,prompt_assistant,button,Send chat message,Send,送信
prompt_assistant.temperature,prompt_assistant,label,Assistant sampling temperature,Temperature,温度
prompt_assistant.max_tokens,prompt_assistant,label,Assistant maximum output tokens,Max tokens,最大トークン数
prompt_assistant.clear_chat,prompt_assistant,button,Clear assistant chat,Clear chat,チャットを消去
prompt_assistant.agents_available,prompt_assistant,status,Available agent count,{count} agents available,利用可能なエージェント: {count}
prompt_assistant.no_agent_selected,prompt_assistant,status,No agent selected for an order,Select an agent first.,先にエージェントを選択してください。
prompt_assistant.order_applied,prompt_assistant,status,Temporary order applied,Order applied.,指示を反映しました。
prompt_assistant.order_cleared,prompt_assistant,status,Temporary order cleared,Order cleared.,指示を消去しました。
prompt_assistant.empty_message,prompt_assistant,status,Empty message validation,Enter a message.,メッセージを入力してください。
prompt_assistant.greeting.intro,prompt_assistant,message,Initial assistant greeting introduction,Welcome to Step-driven MultiBrainEngine. This assistant helps you inspect the current reasoning chain and refine prompts.,Step-driven MultiBrainEngineへようこそ。このアシスタントでは、現在の思考チェーンを確認し、プロンプトを調整できます。
prompt_assistant.greeting.orders,prompt_assistant,message,Initial assistant greeting order guidance,"Use Temporary orders when you want to give a specific agent an additional instruction for this session.",特定のエージェントへこのセッション中だけ追加指示を与えたい場合は、一時指示を使用してください。
prompt_assistant.greeting.agents_heading,prompt_assistant,message,Initial assistant greeting agent list heading,Available agents:,利用可能なエージェント:
prompt_assistant.greeting.agents_loading,prompt_assistant,message,Initial assistant greeting shown while agents load,Loading agent information...,エージェント情報を読み込んでいます…
prompt_assistant.greeting.closing,prompt_assistant,message,Initial assistant greeting closing,Send a message to begin.,メッセージを送信して開始してください。
